Model,MAE,MSE,RMSE,R2_Score
Random Forest (Tuned),6.96707279300976,550.4545676442284,23.461768212226215,0.9865959525288451
Linear Regression,6.850345087835954,561.833437192386,23.703025907938127,0.9863188671587585
Gradient Boosting,7.672010251796773,569.0822129370579,23.855444094316457,0.9861423531648695
Random Forest (Default),7.501809418447415,631.7232428289485,25.134105172632434,0.9846169896059724
Decision Tree,8.142250848087809,927.1588544361016,30.44928331563982,0.9774228755129609
